BIL      ,LONGITUD,LATITUD,"KOD FASILITI
","NAMA
","ALAMAT 
",POSKOD           ,LOKASI                             ,PEJABAT KESIHATAN DAERAH,"BANDAR
",DAERAH           ,"NEGERI
",PURATA BEBAN KERJA SEHARI,"JENIS KLINIK (BERDASARKAN PURATA BEBAN KERJA SEHARI)                                                                                                                                 KK1 = >800, KK2 = 500-800, KK3 = 300-500, KK4 =150 -300, KK5 = 100-150, KK6 = 50-100, KK7 = <50",NO TELEFON                          ,NO FAX             ,VAKSIN BCG (Tuberculosis),VAKSIN HEP B (Hepatitis B),"VAKSIN DTaP-Hib/IPV (Difteria, Tetanus, Pertusis, Hemophilus Influenza B, Polio)","VAKSIN MMR (Measles, Mumps, Rubella)",VAKSIN JE (Japaneese Encephalitis),VAKSIN Measles
726,116.800580,6.073180,21-12160098,KK PERANCANGAN,KG PERANCANGAN,89307,LUAR BANDAR,PK KAWASAN KUDAT,RANAU,RANAU,SABAH,62,KK6,088-666102,088-877169 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
727,116.830280,6.105280,21-12160122,KK TIMBUA,KAMPUNG TIMBUA,89307,LUAR BANDAR,PK KAWASAN KUDAT,RANAU,RANAU,SABAH,63,KK6,088-959027,088-877169 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
728,118.007120,5.884290,21-12170152,KK BATU 10,BATU 10,90500,BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,150,KK4,089-537649,089-668493 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
729,118.102097,5.861339,21-12170366,KK SANDAKAN,"KILOMETER 3.2, JALAN UTARA",90500,BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,830,KK1,089-225800,089-225406,Ada,Ada,Ada,Ada,Tiada,Ada
730,118.018000,6.110540,21-12170278,KK PULAU LIBARAN,KG PULAU LIBARAN,90009,LUAR BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,5,KK7,-,089-668493 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
731,118.106000,5.914820,21-12170260,KK PULAU NUNUYAN,KG PULAU NUNUYUN,90500,LUAR BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,14,KK7,-,089-668493 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
732,118.122193,5.599239,21-12170108,KK SUAN LAMBA,"KAMPUNG SUAN LAMBA, SUAN LAMBA",90500,LUAR BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,57,KK6,089-232948,089-668493 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
733,117.982280,5.966510,21-12170110,KK SUNGAI MANILA,"KAMPUNG SUNGAI MANILA, SUNGAI MANILA",90500,LUAR BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,173,KK4,089-531377,089-668493 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
734,117.768720,5.785260,21-12170128,KK ULU DUSUN,"KAMPUNG ULU DUSUN, ULU DUSUN",90000,LUAR BANDAR,PK KAWASAN SANDAKAN,SANDAKAN,SANDAKAN,SABAH,73,KK6,089-568826,089-568826,Ada,Ada,Ada,Ada,Tiada,Ada
735,118.668610,4.463890,21-12180099,KK PULAU BUM-BUM,KG PULAU BUM-BUM,91308,LUAR BANDAR,PK KAWASAN SEMPORNA,SEMPORNA,SEMPORNA,SABAH,94,KK6,089-792003 / 089-786060,089-784841 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
736,118.606050,4.481240,21-12180347,KK SEMPORNA,KG SEMPORNA,91308,BANDAR,PK KAWASAN SEMPORNA,SEMPORNA,SEMPORNA,SABAH,512,KK2,089-781695,089-784841,Ada,Ada,Ada,Ada,Tiada,Ada
737,115.710160,4.679000,21-12190081,KK MELIGAN,"KAMPUNG MELIGAN, MELIGAN",89850,LUAR BANDAR,PK KAWASAN BEAUFORT,SIPITANG,SIPITANG,SABAH,19,KK7,087-821066 (PKD)/ 087-821533 (KKIA),087-822862 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
738,115.744953,5.343696,21-12190083,KK MENDOLONG,"KAMPUNG MENDULONG, MENDULONG",89857,LUAR BANDAR,PK KAWASAN BEAUFORT,SIPITANG,SIPITANG,SABAH,37,KK7,087-821066 (PKD) / 087-821533 (KKIA),087-822862 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
739,115.505641,4.962366,21-12190105,KK SINDUMIN,"PEKAN SINDUMIN, SINDUMIN",89850,LUAR BANDAR,PK KAWASAN BEAUFORT,SIPITANG,SIPITANG,SABAH,89,KK6,087-811134,087-822862 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
740,115.738316,5.350045,21-12190231,KK LONG PASIA,"KAMPUNG LONG PASIA, LONG PASIA, SIPITANG",89857,LUAR BANDAR,PK KAWASAN BEAUFORT,BEAUFORT,SIPITANG,SABAH,9,KK7,087-821066 (PKD) / 087-821533 (KKIA),087-822862 (PKD),Ada,Ada,Ada,Ada,Tiada,Ada
741,116.375559,5.744544,21-12200112,KK SUNSURON,"JALAN TAMBUNAN-KOTA KINABALU, SIMPANG KANAN, SK SUNSURON",89657,LUAR BANDAR,PK KAWASAN KENINGAU,TAMBUNAN,TAMBUNAN,SABAH,41,KK7,087-773318,087-332969,Ada,Ada,Ada,Ada,Tiada,Ada
742,116.441510,5.758970,21-12200268,KK PATAU,"JALAN TAMBUNAN-RANAU, KM 12",89650,LUAR BANDAR,PK KAWASAN KENINGAU,TAMBUNAN,TAMBUNAN,SABAH,27,KK7,087-773854,087-332969,Ada,Ada,Ada,Ada,Tiada,Ada
743,118.093170,4.322620,21-12210050,KK APAS BALUNG,JALAN APAS BALUNG,91000,BANDAR,PK KAWASAN TAWAU,TAWAU,TAWAU,SABAH,178,KK4,089-951029,089-951029,Ada,Ada,Ada,Ada,Tiada,Ada
744,117.777780,4.413610,21-12210086,KK MEROTAI BESAR,JALAN SMK MEROTAI,91008,BANDAR,PK KAWASAN TAWAU,TAWAU,TAWAU,SABAH,166,KK4,089-902601,089-902601,Ada,Ada,Ada,Ada,Tiada,Ada
745,117.663060,4.474720,21-12210129,KK FELDA UMAS-UMAS,,91008,BANDAR,PK KAWASAN TAWAU,TAWAU,TAWAU,SABAH,126,KK5,089-926540,089-757535 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
746,117.493517,4.409690,21-12210191,KK KALABAKAN,"KAMPUNG KALABAKAN, JALAN KALABAKAN",91008,LUAR BANDAR,PK KAWASAN TAWAU,TAWAU,TAWAU,SABAH,73,KK6,,,Ada,Ada,Ada,Ada,Tiada,Ada
747,116.240000,6.247560,21-12240293,KK SERUSOP,"JALAN SRK SERUSOP, KAMPUNG SERUSOP",89208,LUAR BANDAR,PK KAWASAN TUARAN,TUARAN,TUARAN,SABAH,39,KK7,088-794311,-,Ada,Ada,Ada,Ada,Tiada,Ada
748,117.667000,4.250000,21-12210114,KK SUNGAI TAMANG,KAMPUNG SUNGAI TAMANG,91008,LUAR BANDAR,PK KAWASAN TAWAU,TAWAU,TAWAU,SABAH,38,KK7,089-797100,089-757535 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
749,115.933330,4.916390,21-12220064,KK KEMABONG,"PEKAN KEMABONG, KEMABONG",89907,LUAR BANDAR,PK KAWASAN KENINGAU,TENOM,TENOM,SABAH,121,KK5,087-736896,087-332969,Ada,Ada,Ada,Ada,Tiada,Ada
750,115.888630,4.852130,21-12220071,KK KUALA TOMANI,KAMPUNG KUALA TOMANI,89907,LUAR BANDAR,PK KAWASAN KENINGAU,TENOM,TENOM,SABAH,72,KK6,087-741004 / 013-8670865 (JM),087-332969,Ada,Ada,Ada,Ada,Tiada,Ada
751,116.002748,5.263499,21-12220080,KK MELALAP,PEKAN MELALAP,89907,LUAR BANDAR,PK KAWASAN KENINGAU,TENOM,TENOM,SABAH,44,KK7,087-302409,087-332969,Ada,Ada,Ada,Ada,Tiada,Ada
752,116.835000,5.210280,21-12230096,KK PENANGAH,"PEKAN PENANGAH, PENANGAH, KINABATANGAN",90200,LUAR BANDAR,PK KAWASAN SANDAKAN,TONGOD,TONGOD,SABAH,77,KK6,087-721917,089-561976 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
753,116.975082,5.274559,21-12230124,KK TONGOD,"PEKAN TONGOD, KINABATANGAN",90200,LUAR BANDAR,PK KAWASAN SANDAKAN,TONGOD,TONGOD,SABAH,89,KK6,089-719004,089-561976 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
754,117.044680,5.533660,21-12230176,KK ENTILIDON,"JALAN TONGOD, KAMPUNG ENTILIDON, KINABATANGAN",90200,LUAR BANDAR,PK KAWASAN SANDAKAN,TONGOD,TONGOD,SABAH,102,KK5,089-561975 (PKK),089-561976 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
755,116.800260,5.240330,21-12230247,KK MENGKAWAGU,"JALAN TONGOD, KAMPUNG MENGKAWAGU",90200,LUAR BANDAR,PK KAWASAN SANDAKAN,TONGOD,TONGOD,SABAH,16,KK7,087-721918,-,Ada,Ada,Ada,Ada,Tiada,Ada
756,116.975082,5.274559,21-12230254,KK MINUSOH,"KAMPUNG MINUSOH, KINABATANGAN",90200,LUAR BANDAR,PK KAWASAN SANDAKAN,TONGOD,TONGOD,SABAH,25,KK7,087-721923,089-561976,Ada,Ada,Ada,Ada,Tiada,Ada
757,116.280839,6.050403,21-12240067,KK KIULU,"JALAN KELUK, TAMPARULI",89207,LUAR BANDAR,PK KAWASAN TUARAN,TUARAN,TUARAN,SABAH,84,KK6,088-782830,088-788795 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
758,116.268180,6.135600,21-12240115,KK TAMPARULI,"W.D.T 59, 89275 TAMPARULI",89208,LUAR BANDAR,PK KAWASAN TUARAN,TUARAN,TUARAN,SABAH,232,KK4,088-782349,088-782349,Ada,Ada,Ada,Ada,Tiada,Ada
759,116.335881,6.255727,21-12240121,KK TENGHILAN,JALAN KAMPUNG TENGHILAN,89208,LUAR BANDAR,PK KAWASAN TUARAN,TUARAN,TUARAN,SABAH,123,KK5,088-981249,088-788795 (PKK),Ada,Ada,Ada,Ada,Tiada,Ada
760,116.202780,6.210560,21-12240296,KK SIMPANGAN,"JALAN RANAU, PEKAN NABALU",89208,LUAR BANDAR,PK KAWASAN TUARAN,TUARAN,TUARAN,SABAH,30,KK7,088-792330 / 088-792330 / 088-792390,088-788795,Ada,Ada,Ada,Ada,Tiada,Ada
761,110.607330,1.544150,21-13010043,KK ASAJAYA,KAMPUNG ASAJAYA,94600,LUAR BANDAR,PKD ASAJAYA,ASAJAYA,ASAJAYA,SARAWAK,229,KK4,082-827080,082-827082,Ada,Ada,Ada,Ada,Ada,Tiada
762,110.691588,1.551713,21-13010077,KK JEMUKAN,KAMPUNG JEMUKAN,94600,LUAR BANDAR,PKD ASAJAYA,ASAJAYA,ASAJAYA,SARAWAK,24,KK7,082-827604,082-827604,Ada,Ada,Ada,Ada,Ada,Tiada
763,110.740089,1.515457,21-13010178,KK SADONG JAYA,KAMPUNG SADONG JAYA,94600,LUAR BANDAR,PKD ASAJAYA,ASAJAYA,ASAJAYA,SARAWAK,138,KK5,082-821248,082-821248,Ada,Ada,Ada,Ada,Ada,Tiada
764,110.672908,1.551736,21-13010192,KK SEMERA,KAMPUNGA SAMERA,94600,LUAR BANDAR,PKD ASAJAYA,ASAJAYA,ASAJAYA,SARAWAK,51,KK6,082-826372,082-826372,Ada,Ada,Ada,Ada,Ada,Tiada
765,110.045720,1.378100,21-13020194,KK SERASOT,KAMPUNG SERASOT,93250,LUAR BANDAR,PKD BAU,BAU,BAU,SARAWAK,46,KK7,082-371036,082-763716 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
766,110.170873,1.492666,21-13020196,KK SINGAI,"JALAN KAWAH, KAMPUNG SINGAI",93250,LUAR BANDAR,PKD BAU,BAU,BAU,SARAWAK,81,KK6,082-765499,082-763716 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
767,110.117797,1.365973,21-13020247,KK KROKONG,"JALAN BAU SERIKIN, KAMPUNG KROKONG",93250,LUAR BANDAR,PKD BAU,BAU,BAU,SARAWAK,55,KK6,082-763116,082-763716 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
768,113.782980,2.706620,21-13030058,KK BELAGA,PEKAN KECIL BELAGA,96800,LUAR BANDAR,PKD BELAGA,BELAGA,BELAGA,SARAWAK,83,KK6,086-461323,086-461508 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
769,114.250335,2.463398,21-13030120,KK LUSONG LAKU,KAMPUNG LUSONG LAKU,96800,LUAR BANDAR,PKD BELAGA,BELAGA,BELAGA,SARAWAK,12,KK7,086-464147,086-461508 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
770,113.349866,2.382600,21-13030174,KK PUNAN BAH,KAMPUNG PUNAN BAH,96800,LUAR BANDAR,PKD BELAGA,BELAGA,BELAGA,SARAWAK,15,KK7,086-479705,086-461508 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
771,113.915865,3.044480,21-13030206,KK SUNGAI ASAP,PEKAN SUNGAI ASAP,96800,LUAR BANDAR,PKD BELAGA,BELAGA,BELAGA,SARAWAK,126,KK5,013-8657739 (JM),086-461508 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
772,113.924488,3.103531,21-13030207,KK SUNGAI KOYAN,KAMPUNG SUNGAI KOYAN,96800,LUAR BANDAR,PKD BELAGA,BELAGA,BELAGA,SARAWAK,46,KK7,09-3401533,086-461508 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
773,113.915950,2.918260,21-13030230,KK UMA SAMBOP,KAMPUNG UMA SAMBOP,96900,LUAR BANDAR,PKD BELAGA,BELAGA,BELAGA,SARAWAK,56,KK7,086-485165,086-461508 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
774,111.204250,1.638370,21-13040057,KK BELADIN,"BELADIN, PUSA, SARIBAS",94950,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,83,KK6,083-406448,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
775,111.423770,1.564400,21-13040071,KK DEBAK,"DEBAK, SARIBAS, BETONG",95500,LUAR BANDAR,PK BAHAGIAN BETONG,DEBAK,BETONG,SARAWAK,125,KK5,083-464570,083-464570,Ada,Ada,Ada,Ada,Ada,Tiada
776,111.034730,1.659799,21-13040124,KK MELUDAM,"MELUDAM, SARIBAS",94850,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,54,KK6,083-408212,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
777,111.654110,1.329550,21-13040155,KK NANGA MUJAU,NANGA LAWIH,95700,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,11,KK7,084-775503,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
778,111.697550,1.608150,21-13040162,KK NANGA TIGA,KAMPUNG NG TIGA,95700,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,19,KK7,084-775504,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
779,111.289860,1.610960,21-13040175,KK PUSA,PEKAN PUSA,94950,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,140,KK5,083-465155,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
780,111.102466,1.681967,21-13040190,KK SEMARANG,"PEKAN SEMARANG, PUSA",94950,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,27,KK7,083-468007,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
781,111.481332,1.453404,21-13040199,KK SPAOH,KAMPUNG SPAOH,95600,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,97,KK6,083-473339,083-473339,Ada,Ada,Ada,Ada,Ada,Tiada
782,111.347640,1.540110,21-13040226,KK TUIE,"KAMPUNG TUIE, PUSA, SARIBAS",95500,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,33,KK7,083-569508,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
783,111.572540,1.465420,21-13040381,KK MID LAYAR,BETONG,95700,LUAR BANDAR,PK BAHAGIAN BETONG,BETONG,BETONG,SARAWAK,79,KK6,083-472116(PKD),083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
784,113.037040,3.173590,21-13050064,KK BINTULU,LEBUH RAYA ABANG GALAU,97000,BANDAR,PK BAHAGIAN BINTULU,BINTULU,BINTULU,SARAWAK,847,KK1,086-331455,086-339094,Ada,Ada,Ada,Ada,Ada,Tiada
785,113.379320,3.638250,21-13050090,KK NYALAU,KAMPUNG TENGAH NYALAU,97000,LUAR BANDAR,PK BAHAGIAN BINTULU,BINTULU,BINTULU,SARAWAK,14,KK7,085-776002,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
786,113.370120,3.151080,21-13050119,KK LUBOK TAPANG,LUBOK TAPANG,97100,BANDAR,PK BAHAGIAN BINTULU,BINTULU,BINTULU,SARAWAK,9,KK7,086-422233 (KK Sebauh),083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
787,113.268160,3.110490,21-13050184,KK SEBAUH,PEKAN SEBAUH,97100,BANDAR,PK BAHAGIAN BINTULU,BINTULU,BINTULU,SARAWAK,99,KK6,086-422233,086-422233,Ada,Ada,Ada,Ada,Ada,Tiada
788,113.701678,3.160199,21-13050224,KK TUBAU,PEKAN TUBAU,97000,BANDAR,PK BAHAGIAN BINTULU,BINTULU,BINTULU,SARAWAK,44,KK7,086-469187,083-471870 (PKB),Ada,Ada,Ada,Ada,Ada,Tiada
789,113.038090,3.160840,21-13050380,KK JEPAK,JLN JEPAK KUALA TATAU,97000,LUAR BANDAR,PKD TATAU,TATAU,BINTULU,SARAWAK,167,KK4,086-201089,-,Ada,Ada,Ada,Ada,Ada,Tiada
790,113.151526,2.634457,21-13310080,KK KAKUS,KAKUS,97000,LUAR BANDAR,PKD TATAU,TATAU,BINTULU,SARAWAK,11,KK7,086-474302,-,Ada,Ada,Ada,Ada,Ada,Tiada
791,112.800944,3.078361,21-13310093,KK KUALA TATAU,KAMPUNG KUALA TATAU,97200,LUAR BANDAR,PKD TATAU,TATAU,BINTULU,SARAWAK,14,KK7,086-326287,-,Ada,Ada,Ada,Ada,Ada,Tiada
792,111.877221,2.858519,21-13060091,KK KUALA OYA,KAMPUNG KUALA OYA,96300,LUAR BANDAR,PKD DALAT,DALAT,DALAT,SARAWAK,55,KK6,084-865231,084-865231,Ada,Ada,Ada,Ada,Ada,Tiada
793,111.934802,2.687318,21-13060244,KK MEDONG,DESA MEDONG,96300,LUAR BANDAR,PKD DALAT,DALAT,MUKAH,SARAWAK,23,KK7,084-879236,084-863239 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
794,112.049524,2.583694,21-13060156,KK NANGA BAOH,KAMPUNG NANGA BAOH,96300,LUAR BANDAR,PKD DALAT,DALAT,DALAT,SARAWAK,9,KK7,011-257494,084-863239 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
795,111.214776,2.230560,21-13070059,KK BELAWAI,BELAWAI,96150,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,65,KK6,084-815219,084-815219,Ada,Ada,Ada,Ada,Ada,Tiada
796,111.295032,2.633915,21-13070061,KK BETANAK,BETANAK,96200,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,20,KK7,019-8367446,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
797,111.369778,2.709031,21-13070065,KK BRUIT,BRUIT,96200,LUAR BANDAR,PKD MUKAH,MUKAH,DARO,SARAWAK,10,KK7,019-4535893 (MA),084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
798,111.433490,2.512020,21-13070070,KK DARO,DARO,96200,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,132,KK5,084-823333,084-823886,Ada,Ada,Ada,Ada,Ada,Tiada
799,111.255492,2.154940,21-13070092,KK KUALA REJANG,KUALA RAJANG,96150,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,10,KK7,084-612368,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
800,111.512610,2.360020,21-13070150,KK NANGA SEMAH,NANGA SEMAH,96200,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,14,KK7,019-210006,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
801,111.252850,2.418420,21-13070167,KK PALOH,KAMPUNG PALOH,96250,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,17,KK7,089-881703 / 013-8432047 (MA),084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
802,111.360155,2.151349,21-13070212,KK TANJUNG MANIS,PEKAN TANJUNG MANIS,96150,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,41,KK7,084-613236,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
803,111.304668,2.739262,21-13070217,KK TEKAJONG,KAMPUNG TEKAJONG,96200,LUAR BANDAR,PKD DARO,DARO,DARO,SARAWAK,13,KK7,019-8364561,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
804,111.912930,2.025960,21-13080078,KK JULAU,PEKAN JULAU,96600,LUAR BANDAR,PKD JULAU,JULAU,JULAU,SARAWAK,150,KK4,084-734253,084-734253,Ada,Ada,Ada,Ada,Ada,Tiada
805,111.782730,1.960530,21-13080095,KK LASSI,KAMPUNG LASSI,96600,LUAR BANDAR,PKD JULAU,JULAU,JULAU,SARAWAK,33,KK7,084-734253 013-8457856 (JM),084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
806,111.921208,1.792228,21-13080134,KK NANGA ENTABAI,KAMPUNG NANGA ENTABAI,96600,LUAR BANDAR,PKD JULAU,JULAU,JULAU,SARAWAK,24,KK,084-721005,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
807,112.033090,1.739970,21-13080145,KK NANGA MAONG (MUJOK),KAMPUNG MAONG,96600,LUAR BANDAR,PKD JULAU,JULAU,JULAU,SARAWAK,12,KK7,084-734253,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
808,112.035030,1.663210,21-13080158,KK NANGA ENSIRING,KAMPUNG ENSIRING,96600,LUAR BANDAR,PKD JULAU,JULAU,JULAU,SARAWAK,12,KK7,084-775503,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
809,111.850420,1.903850,21-13080186,KK SEKALONG,KAMPUNG SEKALONG,96600,LUAR BANDAR,PKD JULAU,JULAU,JULAU,SARAWAK,16,KK7,084-394825,084-823624 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
810,112.020130,2.014940,21-13090121,KK MACHAN,PEKAN MACHAN,96700,LUAR BANDAR,PKD KANOWIT,KANOWIT,KANOWIT,SARAWAK,20,KK7,084-738116,084-752682 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
811,112.151041,2.100943,21-13090148,KK NANGA POI (MENALUN),KAMPUNG NANGA POI,96700,LUAR BANDAR,PKD KANOWIT,KANOWIT,KANOWIT,SARAWAK,7,KK7,013-2865114,084-752682 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
812,112.306010,1.859600,21-13090159,KK NANGA JAGAU,KAMPUNG NANGA JAGAU,96700,LUAR BANDAR,PKD KANOWIT,KANOWIT,KANOWIT,SARAWAK,8,KK7,084-752333 / 084-752104 (PKD),084-752682 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
813,112.403180,1.985030,21-13090163,KK NGUNGUN,KAMPUNG NGUNGUN,96700,LUAR BANDAR,PKD KANOWIT,KANOWIT,KANOWIT,SARAWAK,29,KK7,013-2865113,084-752682 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
814,112.360500,2.086955,21-13090393,KK NG TADA,"LOT. 10, SECTION 7, MAPAI LAND DISTRICT",96700,LUAR BANDAR,PKD KANOWIT,KANOWIT,KANOWIT,SARAWAK,37,KK7,-,-,Ada,Ada,Ada,Ada,Ada,Tiada
815,112.928960,2.011640,21-13100081,KK KAPIT,"JALAN BLETEH, ",96800,BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,395,KK3,084-799661,084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
816,112.929397,1.975441,21-13100123,KK NANGA MELINAU,"NANGA MELINAU, SUNGAI MUJONG",96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,7,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
817,113.105700,1.981760,21-13100132,KK NANGA BENA,"JALAN SUNGAI BENA, RUMAH PANJANG",96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,28,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
818,113.680009,1.822061,21-13100137,KK NANGA ENTAWAU,KAMPUNG ENTAWAU,96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,8,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
819,113.448278,1.883587,21-13100138,KK NANGA GAAT,KAMPUNG NANGA GAAT,96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,11,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
820,112.705028,2.011244,21-13100139,KK NANGA IBAU,"KAMPUNG NANGA IBAU, SUNGAI BATANG RAJANG",96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,11,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
821,113.574770,1.848390,21-13100142,KK NANGA MERIRAI,KAMPUNG NANGA MERIRAI,96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,7,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
822,113.171500,2.028390,21-13100146,KK NANGA MUJONG,"KAMPUNG NANGA MUJONG, SUNGAI MUJONG KAPIT",96800,BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,16,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
823,113.237040,2.084470,21-13100187,KK SEKEROH,SUNGAI SEKEROH,96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,3,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
824,113.670679,2.050537,21-13100228,KK TUNOH SCHEME,KAMPUNG TUNOH SCHEME,96800,LUAR BANDAR,PK BAHAGIAN KAPIT,KAPIT,KAPIT,SARAWAK,12,KK7,084-796404 (PKD),084-796454 (PKD),Ada,Ada,Ada,Ada,Ada,Tiada
825,114.944720,4.534720,21-13100144,KK NANGA MERIT,"KLINIK KESIHATAN NANGA MERIT, KAPIT",96800,LUAR BANDAR,PK BAHAGIAN LIMBANG,LIMBANG,KAPIT,SARAWAK,19,KK7,-,-,Ada,Ada,Ada,Ada,Ada,Tiada
